Description	lacZ 1	lacZ 2	lacZ 3	lacZ 4	lacZ 5	lacZ 6	HA cont 1	HA cont 2	HA cont 3	HA cont 4	HA chol 1	HA chol 2	HA chol 3	HA chol 4	HA bor 1	HA bor 2	HA bor 3	HA bor 4
RADI_MOUSE Radixin	1.087953308	1.400178442	0.503842079	1.270948725	1.095645661	1.231693837	0.979222662	0.975928921	1.627422852	1.149433133	0.918968754	1.209338464	1.305208415	1.629174494	0.90842209	1.14005093	1.321187613	2.158744013
SPB5_MOUSE Serpin B5	2.855462565	1.490982131	0.338991178	2.14219119	14.16072769	1.935934778	1.176819724	1.158273694	2.175532098	1.428880305	1.210397648	1.515848903	1.583686229	2.035558126	1.224450577	1.861316444	14.2883899	2.333808452
CP2AC_MOUSE Cytochrome P450 2A12	1.005694225	1.676074176	0.549084557	0.908792002	0.751133261	1.252700175	1.649954648	1.034205664	1.028414519	0.852386454	1.338737528	1.182467162	1.15976603	1.18893775	0.893492794	1.139883092	0.964148987	1.35049091
Q9JKY7_MOUSE Cytochrome P450 CYP2D22	1.063822919	1.653693682	0.383174933	1.169400263	0.783261519	1.946919905	1.25995362	0.922536964	0.971896242	1.162430585	0.852046538	1.071799352	1.307297975	1.361926888	1.07189307	1.410610322	0.785786621	1.25067678
HYEP_MOUSE Epoxide hydrolase 1	0.765101958	1.574310962	0.459725906	1.387897526	0.817899491	1.886693972	1.479618226	0.951203461	0.680930728	0.939576668	1.436000635	0.895058503	0.791737539	1.181325261	1.071701645	1.546832111	1.741545953	1.613944649
LIMA1_MOUSE LIM domain and actin-binding protein 1	0.395647739	0.502972628	2.053434206	0.897027787	1.344679936	0.905982048	0.497114077	0.68149184	0.700614508	1.041725639	0.393435906	0.673486059	1.261307487	0.765996023	0.417568854	0.387588405	0.496870129	0.512338535
"FABPL_MOUSE Fatty acid-binding protein, liver"	0.561853366	0.940555917	1.154278605	0.947182776	0.736066444	1.805931029	0.818866002	0.598389974	0.700394222	0.93109656	0.645727028	0.556270687	0.940973472	1.085184937	1.016826408	1.238438809	0.815103102	1.386874722
DJB11_MOUSE DnaJ homolog subfamily B member 11	1.159139957	1.67218562	0.356527018	0.953536506	0.532426185	1.389735442	1.522781857	1.21779691	0.775052117	0.975929001	1.472106451	1.087625746	1.016492345	1.164829372	1.044600751	1.021919758	0.624404908	1.3476041
RS16_MOUSE 40S ribosomal protein S16	1.122639213	1.587924972	0.948360815	1.111840409	0.739922797	0.940310207	1.431703958	1.437552577	1.036932907	1.421807173	1.623056751	1.133408932	1.234066348	1.628611941	0.615097328	0.620533032	0.904638475	1.267257537
TBA1A_MOUSE Tubulin alpha-1A chain	2.337296334	0.950742071	0.980915984	1.042103427	2.544885323	1.143612104	0.828451258	0.86144492	1.152498474	1.268845382	0.754546065	1.418606992	0.871627278	1.290616552	1.88279663	1.334973739	3.180177902	0.786243132
RS6_MOUSE 40S ribosomal protein S6	1.113477629	1.477339038	0.796015532	0.959034034	0.359717427	0.787976737	1.420038176	1.215490103	0.84050743	0.902153291	1.381326931	1.248671169	1.058446238	0.92331362	0.47583194	0.438294613	0.659504826	0.743062716
RL34_MOUSE 60S ribosomal protein L34	1.102546944	1.686967806	1.012855281	1.053003103	0.667762319	0.978305044	1.374759217	1.301160362	1.538781462	1.084902594	1.590500367	1.134962843	1.198021427	1.640950648	0.616441214	0.594374561	0.681037089	1.370553189
S27A2_MOUSE Very long-chain acyl-CoA synthetase	0.76119694	1.11652086	0.946171369	1.056189172	0.802043436	1.247425728	0.967054006	0.853555632	0.857596032	1.201054213	1.002455217	1.011965857	0.9043724	1.145477645	0.695634678	0.789316705	0.39364649	0.841641674
"ACTA_MOUSE Actin, aortic smooth muscle"	0.401116483	0.359032328	1.676623957	0.887636899	1.303166746	0.749380606	0.443850782	0.474461089	0.61545375	1.121286165	0.34303556	0.396045087	0.910161346	1.131788051	0.25674826	0.200821109	0.253016069	1.086688594
ANXA2_MOUSE Annexin A2	4.646988375	0.922905739	0.359828878	1.00650453	1.336104294	0.861829019	1.353437703	1.495589514	1.1717565	0.889731146	1.892562055	1.248953517	0.799036776	1.201391324	1.257881009	2.530122008	2.141208274	0.920909527
CAZA2_MOUSE F-actin-capping protein subunit alpha-2	0.379190337	0.541075583	1.571416978	1.196450877	1.719911322	1.276686235	0.483471298	0.546565763	1.090275243	1.665254564	0.518001677	0.690558892	1.3821854	1.372590913	0.339695937	0.392021046	1.42398923	0.716515577
EST3A_MOUSE Carboxylesterase 3A	0.907515351	1.903700339	0.382114234	1.289263641	0.995177545	2.23899939	1.514562798	0.856195344	0.800458625	0.925387273	1.382123764	0.964127455	0.723803736	1.218361251	0.94159951	1.141946387	0.568486241	1.746060842
UD11_MOUSE UDP-glucuronosyltransferase 1-1	0.674169165	1.129875218	0.447668983	1.43105135	0.733821731	1.702141403	0.961896159	0.942855122	1.050236102	1.243141334	0.888959028	0.779828146	1.258522616	1.442005299	0.999210932	1.395230762	0.824625123	1.323582883
EF1A1_MOUSE Elongation factor 1-alpha 1	0.757408425	0.812432845	1.541590354	0.950468964	1.137577257	1.015336644	0.663078449	0.680259463	0.998344833	0.988934556	0.7666163	0.71231685	0.904235864	1.082417412	0.639224664	0.628923993	1.312529058	2.780507461
FLNB_MOUSE Filamin-B	0.806041323	0.79824122	1.489727427	0.780446129	0.89288746	0.816838543	0.62853439	0.73863946	0.863861156	0.872820973	0.575444403	0.804630772	1.094905062	0.746786569	0.656833555	0.578684261	0.595701916	0.517529697
SYFA_MOUSE Phenylalanine--tRNA ligase alpha subunit	1.270567807	1.904680411	0.705684902	1.077941457	0.665171394	1.455708413	1.219823667	1.777970462	1.272564095	1.106520199	1.392982232	1.478423258	1.53289755	1.175755362	1.047086678	1.93937274	1.415067599	1.559050767
ACTN4_MOUSE Alpha-actinin-4	1.249668738	0.712527291	1.373806788	1.232365303	2.047413493	1.151354084	0.58695102	0.622441265	0.988592195	1.271227682	0.696125293	0.826297581	0.96441776	1.112637067	0.555577386	0.694424578	1.332039817	0.754488861
RS3_MOUSE 40S ribosomal protein S3	0.901836201	1.321539374	0.731831046	1.089208089	0.904072457	1.205816232	1.230721351	1.106048375	1.075281759	1.248460643	1.285068225	1.090623511	1.125142994	1.333843965	0.546342673	0.611503487	0.567836147	1.526867869
ARP3_MOUSE Actin-related protein 3	0.89026136	0.866970896	1.73367301	1.194190338	1.506162958	1.265385707	0.663778244	1.00584891	1.185302746	1.04540006	0.578305277	0.847256388	1.294741574	1.324428655	0.668499442	0.649042029	1.036532183	0.754932732
CAPZB_MOUSE Isoform 2 of F-actin-capping protein subunit beta	0.5022763	0.503981405	1.716124125	1.243520601	1.520501911	1.510745549	0.475319813	0.585843391	1.167420978	1.44733823	0.435454864	0.618121614	1.239681292	1.513220774	0.351005531	0.314440511	1.234301743	2.576311915
RL7A_MOUSE 60S ribosomal protein L7a	0.783223601	1.314300657	0.646919564	0.890927231	0.535666292	0.929132805	1.592795973	1.201215925	0.998688183	0.961340671	1.4077737	1.176916109	1.108656828	1.222776165	0.457271734	0.393077074	0.361098668	0.698639899
ARGI1_MOUSE Arginase-1	0.47511431	0.994987506	0.973557603	0.793166714	0.664507242	1.423214996	1.022228024	0.597912953	0.534887816	0.681536495	0.723142506	0.596536009	0.920880432	0.690712866	0.902017678	1.244090553	0.931962511	1.089804033
RL27A_MOUSE 60S ribosomal protein L27a	1.217042247	1.439636379	0.742748275	0.906234142	0.730246791	0.689539834	1.385247673	1.230245728	0.971511937	1.04019023	1.527781037	1.195773404	0.938890058	1.115013552	0.575642728	0.638114706	1.235506888	0.921726673
RL8_MOUSE 60S ribosomal protein L8	1.125931338	1.374033358	0.830389788	1.005276994	0.727793127	0.978069882	1.376578324	1.21592615	1.049127671	1.246661249	1.518648251	1.222403689	1.068839922	1.234300464	0.555984663	0.683027313	0.704243583	1.370192629
RS25_MOUSE 40S ribosomal protein S25	0.972543463	1.383877166	0.601020743	1.071249671	0.648002052	1.079182053	1.234910353	1.15202307	1.001228675	1.186839671	1.219765123	1.156599159	1.139731447	1.196540806	0.51658708	0.470371563	0.4292445	0.686519001
A1AT1_MOUSE Alpha-1-antitrypsin 1-1	0.960302308	1.359389778	0.589305356	1.629064827	0.964472514	2.793615458	1.161969734	0.882579606	1.208839185	1.120036681	1.09369636	1.28391775	0.936642419	1.155593499	0.815094406	0.972895576	0.552733145	1.400537551
"ACTB_MOUSE Actin, cytoplasmic 1"	0.486856008	0.361335443	2.221013906	1.232638228	1.815007455	0.988908987	0.334475756	0.606535207	0.844631483	1.309204614	0.310111103	0.594707527	1.063858554	1.179192186	0.257248915	0.441955706	0.748913157	1.251616405
RL24_MOUSE 60S ribosomal protein L24	0.820974319	1.484968885	0.676182842	0.934308789	0.632002724	0.933098592	1.515103196	1.336387683	0.981208494	1.086167263	1.372118117	1.250822927	1.13128512	1.243821304	0.416869623	0.368765249	0.540534311	0.751812255
RS23_MOUSE 40S ribosomal protein S23	1.022119285	1.381936999	0.665011949	0.747877191	0.467092179	0.987634021	1.226301993	1.148845704	1.054313828	0.884017076	1.265051123	1.189416168	0.875390976	1.041595128	0.518852458	0.51427623	0.430559114	1.177045133
CP2E1_MOUSE Cytochrome P450 2E1	0.913383075	1.470322222	0.498929475	0.99207691	0.722265299	1.668288816	1.30615872	0.925956175	0.876344188	1.03561764	1.127565774	0.783414551	1.122165483	1.164015563	1.034977202	1.116879214	0.535682399	1.271315754
Q6ZWZ4_MOUSE 60S ribosomal protein L36	0.982508393	1.650432191	0.56003634	1.052034452	0.510935551	1.168824869	1.424200608	1.303534745	1.201009801	1.013464013	1.445971456	1.218387001	1.131680032	1.204959905	0.939544269	0.772325006	0.404308484	0.884760915
PGK1_MOUSE Phosphoglycerate kinase 1	1.691214557	1.755498481	0.323141728	1.407455083	1.097473646	1.171296171	1.404447295	1.156100006	1.348740549	1.046872036	1.226062303	1.546021231	0.748302892	1.487036259	1.222332418	1.755584721	2.267987317	1.409785643
RL23A_MOUSE 60S ribosomal protein L23a	1.202013924	1.9379337	0.481461971	0.836136634	0.46127271	0.751118218	1.888517905	1.891095	0.885498982	0.871437354	1.58302604	1.634749851	1.154285892	1.213335702	0.744208169	0.727377465	0.408055118	0.735291132
MY18A_MOUSE Unconventional myosin-XVIIIa	0.416885955	0.468201325	1.754693866	0.72184717	0.856721157	1.044544318	0.457476114	0.637687936	1.004631926	0.790402992	0.376440781	0.808309048	0.773370224	0.950235274	0.346506966	0.389723153	0.474532714	0.683147337
ML12B_MOUSE Myosin regulatory light chain 12B	0.289722683	0.430820382	1.75606685	1.252010843	1.715503467	1.56239238	0.490343746	0.62923046	0.96408017	1.508151963	0.343538052	0.489649516	1.252648806	1.527837674	0.291723356	0.28795512	0.286526767	0.331868669
"RS4X_MOUSE 40S ribosomal protein S4, X isoform"	0.850652041	1.27521146	0.724706036	1.143883677	0.65673546	1.101013133	1.285393846	1.311863923	1.053499062	1.611777674	1.334880859	1.097678024	1.376918386	1.482729831	0.478307428	0.469512143	0.542082552	0.740863039
RL13A_MOUSE 60S ribosomal protein L13a	0.934760707	1.611164673	0.741009414	0.929489093	0.515174525	1.006413237	1.493796663	1.305388013	1.173872304	1.157721219	1.459323855	1.307172786	1.12791077	1.25866724	0.474904757	0.538814644	0.415609015	0.79094512
MYH10_MOUSE Myosin-10	0.273993965	0.317715506	1.949840074	0.825719259	1.235077301	0.649681209	0.329851734	0.485555486	0.748814654	0.907247969	0.303727528	0.453869728	0.706961289	1.01559984	0.312263854	0.233002584	0.11476307	0.143995085
RS3A_MOUSE 40S ribosomal protein S3a	1.077114793	1.640532646	0.690281865	1.135327696	0.628058838	1.407252304	1.637243709	1.459789373	1.03317739	1.076177396	1.442010242	1.289247197	1.158492394	1.271078464	0.740661912	0.527594048	0.52242095	0.892656337
TBA4A_MOUSE Tubulin alpha-4A chain	2.13653882	0.811629207	1.520921391	1.188646841	1.360484754	1.268001415	0.630159902	0.685879459	1.194877442	1.080313128	0.622806664	0.799522904	0.897543135	1.231679067	1.191732826	0.891527824	1.670959239	3.46559476
AL1L1_MOUSE Cytosolic 10-formyltetrahydrofolate dehydrogenase	0.585284716	0.912831042	1.009079017	0.896731005	0.973425763	1.094842958	0.772864309	0.831934229	0.743750343	0.7959432	0.658778838	0.708570488	0.890610412	0.843058954	0.991570722	1.034644073	0.509583641	0.903633912
UDB17_MOUSE UDP-glucuronosyltransferase 2B17	0.666735198	1.554176267	0.402067751	1.49845891	0.916119468	2.561852993	1.090867628	0.775222431	0.835402359	1.156286643	0.925667293	0.675890019	0.939755101	1.26257161	0.952777285	1.432186027	0.694117893	1.806961707
ADT2_MOUSE ADP/ATP translocase 2	0.996295827	1.044025643	0.607015881	1.193668569	0.883375917	1.588504122	0.734148398	0.775765226	1.745923711	0.896518982	0.902660721	0.53679589	1.067117876	1.568500498	0.713152571	0.637112288	0.93054272	10.16044215
RS18_MOUSE 40S ribosomal protein S18	0.838265515	1.548197144	0.729108383	1.443725805	0.550247752	1.053582276	1.224126697	1.379454697	1.338526592	1.490369841	1.10195239	1.179032549	1.580960038	1.469013162	0.672417218	0.447696469	0.551502591	0.744005717
DDX3X_MOUSE ATP-dependent RNA helicase DDX3X	0.853002656	1.115974675	0.981247547	1.059935505	1.125884948	1.021025613	0.875882912	0.966396511	1.065171059	1.389423255	0.890537746	0.924975097	1.310287631	1.08779977	0.58056763	0.720448851	0.674657141	0.777159087
AL1A1_MOUSE Retinal dehydrogenase 1	0.570855704	0.946874147	0.479742166	0.869591371	0.922494684	1.678810045	0.784153851	0.853283587	1.008667638	1.060959761	0.805429672	0.763775897	0.999006012	1.052784292	1.189001122	1.393854461	1.087573866	4.403719895
FMR1_MOUSE Fragile X mental retardation protein 1 homolog	0.54743527	0.542430312	1.215296433	1.484503077	1.067438523	1.659012502	0.56862806	0.657556766	2.346327933	1.582714652	0.666068176	0.858781415	1.836095548	1.669927966	0.616961687	0.586259726	1.189205972	3.047111749
HNRPU_MOUSE Heterogeneous nuclear ribonucleoprotein U	1.332979782	1.547200769	0.951985721	0.909612276	0.839983544	0.758971361	1.255964027	1.187460955	1.2469903	1.039811767	1.287666907	1.204180826	0.969426641	1.138212368	0.702828408	0.626780627	0.788648305	0.733887638
Q68FG2_MOUSE Protein Sptbn2	0.703844253	0.844436209	1.417813025	0.986456166	0.826530041	0.997964863	0.647662813	0.699980235	0.934845101	0.990923291	0.567501729	0.90440755	0.897174722	0.813383059	0.676736832	0.855455084	0.532666487	0.514792899
RL26_MOUSE 60S ribosomal protein L26	1.311784378	2.196728805	0.762994507	0.884193483	0.549582213	0.878729002	2.193590164	2.07126696	0.924974701	0.897926967	2.057440179	1.690859089	1.019056293	1.120235927	0.674288283	0.520216048	1.208060832	1.121461821
H4_MOUSE Histone H4	1.826007675	2.374290312	0.354061672	1.322465998	1.969693862	1.609856333	1.385978866	1.764638183	1.949008828	1.200244801	1.22514487	1.736587851	1.17279012	1.949316539	2.093383816	0.993666409	3.392225846	5.312446578
MUP2_MOUSE Major urinary protein 2	0.999364513	2.782019259	0.483598267	1.18547051	0.890157025	2.768773538	1.70397797	0.647769177	0.469405114	0.854911183	1.281979541	0.791498601	0.592871632	0.870189433	0.617804217	1.03993857	0.634128158	1.906142414
E41L5_MOUSE Band 4.1-like protein 5	1.060951351	1.369171843	0.558156802	1.288024164	0.837885713	1.558254252	1.039723948	0.934459412	1.222087426	1.073782271	0.896759615	0.766452328	1.080268169	1.362483488	0.806732044	0.84643767	0.37739525	0.783729709
RL28_MOUSE 60S ribosomal protein L28	1.115747531	1.974730689	0.728890462	0.967714228	0.458036851	0.99161951	2.322977552	1.96120917	1.024672841	0.984724534	1.831105636	1.632480547	1.23515237	1.348162362	0.840111553	0.560888382	0.45109227	0.906788588
RS27A_MOUSE Ubiquitin-40S ribosomal protein S27a	0.991761557	1.150327963	0.961237341	0.936820261	1.109378689	0.843549441	0.916259992	0.920340732	1.074632028	1.023393193	1.187913453	0.951604835	0.711568129	0.927811054	0.925850519	0.634683668	1.408565609	2.009102538
MTP_MOUSE Microsomal triglyceride transfer protein large subunit	0.775969857	1.400355553	0.422076173	0.912552937	0.670649454	1.388845079	0.983589084	0.913495102	1.081632057	0.990137952	0.993242911	0.818089569	0.947720436	1.052659248	1.258834264	1.517336181	0.817673803	2.152827672
ANXA1_MOUSE Annexin A1	1.548424733	3.194645824	0.60189886	1.078638386	0.411470871	0.742031136	2.125839628	1.953610666	1.596066394	0.512442006	1.354121312	3.217751719	0.577891712	0.765369672	1.733339533	30.62714795	8.608151162	1.272049872
RL35A_MOUSE 60S ribosomal protein L35a	1.151763516	1.940113251	0.931991908	1.26819016	0.687552503	1.220304483	1.927852301	1.750262329	1.22520258	1.159146129	1.799154874	1.366315949	1.154115564	1.461587423	0.757974344	0.705915884	2.039178309	1.008138723
CP2F2_MOUSE Cytochrome P450 2F2	1.102621577	2.089601703	0.46397945	1.143653275	0.859802561	1.787359736	1.459545982	1.080434986	0.88563571	0.938741941	1.140916617	1.009262977	0.931669412	1.070172662	1.178411322	1.533699305	1.157352083	1.573972265
"ATPA_MOUSE ATP synthase subunit alpha, mitochondrial"	1.974669835	2.07620442	0.56920336	1.669372439	1.446951992	1.838735958	1.112615278	1.006354268	2.759935537	2.036239511	1.138199479	0.929003339	1.712343675	2.785125982	1.040121136	1.012467869	1.59137483	5.963177707
HSP7C_MOUSE Heat shock cognate 71 kDa protein	0.754382179	1.045506416	1.443661574	1.234405205	1.1517469	1.236451506	0.744351243	0.82766631	1.231623367	1.12070819	0.748859402	0.906770373	1.039497383	1.028987694	0.752211709	1.070449302	0.90462068	0.85295865
RRBP1_MOUSE Ribosome-binding protein 1	1.225417562	0.692983193	0.727953155	0.790504315	0.343817961	0.774866293	1.503288065	1.162646142	0.929776553	0.99379204	1.473329251	1.270233707	0.773796634	0.799166585	0.850622191	0.939421957	0.526193523	0.677625751
TPM3_MOUSE Isoform 2 of Tropomyosin alpha-3 chain	0.675639346	0.497683769	1.579475121	1.024085008	1.438380947	0.754618198	0.392908661	0.644508154	0.739811336	1.150036779	0.348530111	0.583770532	0.765276038	1.054074472	0.834398994	0.491554634	0.533094769	0.489085704
H15_MOUSE Histone H1.5	1.628183041	2.523249693	0.449123185	0.784915949	0.439511035	1.163712422	2.7344909	2.415495541	0.868186975	0.844135126	1.837935417	2.752383459	0.908346439	0.873817228	1.722803575	1.182299393	0.780784304	1.129473264
CALM_MOUSE Calmodulin	1.593487044	0.961838228	1.105006755	1.238217407	2.066189589	1.241004337	0.717831445	0.929419994	1.279396252	1.342336593	0.843720099	0.907294318	0.988689492	1.222635342	0.739471925	0.692335258	1.511929103	3.566046336
ACSL1_MOUSE Long-chain-fatty-acid--CoA ligase 1	0.711125155	1.364727874	0.693841225	1.099636226	0.856719508	1.607485065	0.992341364	0.77342224	0.907059445	1.066943828	0.852112592	0.681999939	0.873813011	1.05798477	0.927645623	1.365941203	0.77102866	1.62064878
ALDOB_MOUSE Fructose-bisphosphate aldolase B	0.832906489	1.675255574	1.02402151	0.943463248	0.707618088	1.169630591	1.206339522	2.150889988	0.71866211	0.934400541	1.150904176	1.208340132	1.307769832	0.959764936	1.72590932	1.448519761	1.285910547	1.300195336
FCGR2_MOUSE Isoform IIB2 of Low affinity immunoglobulin gamma Fc region receptor II	1.262664062	2.399929706	0.436616806	1.363813445	0.784576721	1.904955528	1.783361072	1.334287811	1.264076996	1.348421886	1.522509484	0.985817216	1.466572856	1.299703239	0.976110485	0.885366165	0.499951037	1.316542413
RL35_MOUSE 60S ribosomal protein L35	0.857363735	2.039018962	0.595208645	0.842562778	0.429575134	0.916290318	1.948263559	1.753449096	1.105337369	1.050220983	1.717386503	1.675521612	0.796209854	1.190269178	0.491505539	0.376810351	0.347920143	0.693549444
A8DUK4_MOUSE Beta-globin	1.777346814	1.416355657	0.667881117	0.504341841	0.244588803	0.964081317	1.903171471	1.350527615	0.625591977	0.367873223	0.912867122	2.408358861	0.267745063	0.295441847	1.03240003	1.27565828	0.318250244	0.966976782
CN166_MOUSE UPF0568 protein C14orf166 homolog	0.678910174	0.833981678	1.140290263	1.394168583	0.744174871	1.21864221	0.847872604	0.999134979	1.361773318	1.765382473	0.850255207	0.92868886	1.524531115	1.181661397	0.42744242	0.374792471	0.537340112	0.912582639
IQGA2_MOUSE Ras GTPase-activating-like protein IQGAP2	0.558553594	0.574147179	1.562217368	0.988286895	0.883756307	1.069433529	0.613854211	0.749026445	0.959046388	0.961497182	0.525145449	0.557084076	0.869896644	0.992377186	0.444672665	0.61332986	0.305390057	0.433586864
DHB13_MOUSE Isoform 2 of 17-beta-hydroxysteroid dehydrogenase 13	0.841991003	1.206789044	0.483285492	1.008311738	0.875961225	1.262439773	0.955682462	0.978091493	0.939092043	1.437043862	0.750539722	0.713120982	1.561547173	0.836483348	0.660849324	0.907644157	0.708163931	1.263599194
"ECHA_MOUSE Trifunctional enzyme subunit alpha, mitochondrial"	1.028308323	1.247747126	0.910389841	1.188082034	1.156104953	1.015789749	0.602910496	0.698793209	1.629627021	1.168827628	0.743263069	0.519868673	0.976367631	1.415261303	0.559268827	0.508331197	0.598712056	1.328815269
ANXA6_MOUSE Annexin A6	0.763022379	1.143952442	0.535357287	1.267658553	1.225609685	2.061299039	0.8388735	0.8225802	1.306453446	1.575190472	0.773154725	0.89884921	1.253865689	1.107518004	0.892221034	1.253667044	1.011867846	3.0241091
"SPTN1_MOUSE Spectrin alpha chain, non-erythrocytic 1"	0.555956744	0.531639716	1.731393628	0.991488673	0.904750765	1.04025079	0.471091641	0.593473384	0.948492459	1.087871551	0.415366665	0.614086375	0.902378082	0.804776729	0.491504155	0.412895185	0.509790212	0.744788708
UD19_MOUSE UDP-glucuronosyltransferase 1-9	0.648295005	0.939624705	0.454657307	0.756287706	0.791215469	0.610739919	0.871902806	1.026179112	0.664011706	0.873973394	0.619822754	0.802132655	0.638217807	0.962453609	1.020228125	0.868897593	0.395524625	0.534276512
RS13_MOUSE 40S ribosomal protein S13	0.857173406	1.697400805	0.610092557	0.946195915	0.95842075	0.957468715	1.509643085	1.569571427	0.760781797	1.092146416	1.417977292	1.415766242	0.780344355	0.72218559	0.603451337	0.440043414	0.235160771	0.332972853
DHB12_MOUSE Estradiol 17-beta-dehydrogenase 12	0.784040968	1.103519186	0.624483959	1.540349128	0.690859297	1.305309311	0.910797841	0.949851544	1.449679693	1.630212673	0.752069162	0.628350244	1.412998047	1.533601508	0.85647886	0.860143059	0.514291568	1.249941949
COR1C_MOUSE Coronin-1C	0.382878949	0.517362442	1.89029109	1.138562819	1.272891027	0.983849627	0.430926518	0.669758608	0.79602533	1.279110854	0.271067803	0.587082002	0.889388506	1.023820379	0.287725595	0.265855875	0.361363056	0.379208833
GSTP1_MOUSE Glutathione S-transferase P 1	0.463527873	1.357161404	0.92229113	0.91626653	0.7770021	1.457296101	1.331915234	0.868606068	0.646307963	0.919484647	0.817046158	0.715421335	0.708144617	0.994244849	1.102872151	1.382637266	0.823071684	1.561127192
ACSL5_MOUSE Long-chain-fatty-acid--CoA ligase 5	1.065141137	1.277105758	0.756304102	1.189568324	0.649188801	1.255768381	1.095122318	0.902517877	1.090173454	1.1613959	0.818633798	0.816051938	0.933403679	1.045741647	1.145001882	1.305780956	0.952658451	1.423729472
EGFR_MOUSE Epidermal growth factor receptor	0.603894721	0.710274374	1.52132982	0.910068372	0.890108522	1.113663263	0.695451279	0.630673426	0.971203631	0.821898694	0.565539632	0.606066957	0.740708155	0.728125455	0.544100036	0.608628398	0.511601059	0.848736435
FAS_MOUSE Fatty acid synthase	0.558800919	0.69968708	1.463721859	0.671303963	0.719500802	0.66575958	0.761348311	0.752971296	0.947505901	0.975875387	0.574393981	0.679286528	0.957755005	0.694201827	0.795604684	0.94160151	0.743968847	0.728582821
PHB2_MOUSE Prohibitin-2	1.715676865	2.03294763	0.543128926	2.039491026	2.06628235	1.801239176	1.294754255	1.730944779	2.477649262	2.254979491	1.052750496	1.571877148	1.800746462	2.034625476	1.057988767	1.743677809	1.735338679	2.057327273
"SPTB2_MOUSE Spectrin beta chain, non-erythrocytic 1"	0.486350112	0.506370387	1.518189686	1.14479919	0.880873174	1.454377308	0.567573582	0.715720326	1.179693474	1.070984608	0.481202041	0.621109893	0.836547825	0.998202673	0.715377451	0.483628541	0.709891834	1.507225254
GELS_MOUSE Gelsolin	0.446080119	0.385742117	2.458602613	1.025377704	1.47155112	0.729583855	0.430273844	0.491967765	0.954492967	1.410114578	0.346332055	0.544839214	0.928683175	0.904441564	1.316892262	0.35233941	0.647813115	0.653677961
MET7B_MOUSE Methyltransferase-like protein 7B	0.794096901	1.277120908	0.753945002	1.194000547	0.721883036	1.457713486	0.980981231	0.88380969	1.105270893	1.104244358	0.779381929	0.585707551	0.83228997	1.174030794	0.800665212	0.925012658	0.518101796	1.188379847
CES1D_MOUSE Carboxylesterase 1D	0.988145097	1.462690823	0.370775527	1.328100385	0.724900775	1.731919766	1.171588607	0.964926428	0.76005984	1.035647554	0.651852114	0.640070049	0.996049337	0.939946266	1.156313441	1.277744769	0.779489528	1.483082982
LMNA_MOUSE Prelamin-A/C	3.407587424	1.236795272	0.383279045	1.312291708	4.406524497	1.176541737	1.186795349	1.731263388	1.456232206	0.878750766	0.850625986	1.176653176	1.001538854	1.275289408	2.097794217	1.408270487	5.227352747	1.438998258
ABCD3_MOUSE ATP-binding cassette sub-family D member 3	0.541442718	0.469351804	1.987678753	1.176422254	0.654871336	0.739758972	0.44904461	0.632446533	1.30674986	1.457268926	0.434375804	0.591889616	0.921468749	1.196366539	0.369633661	0.320705992	0.252263982	0.416301472
"PYGL_MOUSE Glycogen phosphorylase, liver form"	0.902059538	1.710195355	0.435046874	0.833736228	0.809250332	1.771783506	1.383198406	0.994122914	0.987449559	0.884094102	0.683119826	0.879019024	0.980694177	0.896010635	0.93797628	1.370018823	1.099372241	1.188937825
MVP_MOUSE Major vault protein	1.215967176	1.362439287	0.448608377	1.232521492	0.7982129	1.52155668	0.984108037	1.261072361	1.345478846	1.548433223	0.894999663	0.979847853	1.189840025	1.084697588	1.063919593	1.13547646	2.037872288	1.685062945
CP2J5_MOUSE Cytochrome P450 2J5	0.755720653	0.974641721	0.555413642	1.364811801	0.524894255	1.179146669	0.945972207	0.933708463	1.283462962	1.38075656	0.650491672	0.834419173	0.963893729	1.219305098	0.809182648	1.086767715	0.8067792	1.158418221
ALBU_MOUSE Serum albumin	1.053696596	3.595503728	1.022767374	2.364768733	1.159568734	3.965806275	1.460535641	1.137111071	1.770670598	1.111022602	1.001888519	1.231326695	0.9408466	1.241327722	0.916961967	0.9485936	1.024030326	1.535566943
SDC4_MOUSE Syndecan-4	0.58997059	0.627014687	1.128605922	0.778894145	0.879381678	0.649054818	0.394617214	0.543226585	0.990339073	0.98728277	0.409050887	0.518416753	0.588116886	0.833430049	0.22554781	0.240534285	0.265682726	0.242954368
PARP9_MOUSE Poly [ADP-ribose] polymerase 9	0.677519776	0.914862061	1.091992136	1.001969134	0.767421589	1.326865821	0.756274186	0.741856006	1.396462909	1.848639197	0.813618499	0.872335467	1.145589926	0.98115407	0.61471965	0.636231145	0.506649373	0.620833968
"Q8C6B0_MOUSE MCG20149, isoform CRA_a"	2.963725043	1.261910707	0.570801464	1.341474286	1.057458607	1.75256617	1.136736025	1.011417546	1.653214212	1.31792539	0.827413875	1.082414444	0.923421298	1.274714542	0.880424282	1.195880062	0.739858768	1.088525758
H12_MOUSE Histone H1.2	1.442624842	2.716415822	0.395277955	0.796617446	0.25576439	0.779971397	2.39265596	1.882201739	0.81169872	0.809181364	1.696010665	1.504872663	0.748023075	0.739205979	1.235258953	0.599129439	0.65054729	0.721734359
